

"Status Code/Type"	"Row Name"	"Run #"	ch	sd	yl
OK	Optimization1[1]/Subflow[9]	9	0.9763472108836417	35.84726515206464	2346400.311940767
OK	Optimization1[1]/Subflow[10]	10	1.2132605757071824	40.5853711509924	2534833.0978250816
OK	Optimization1[1]/Subflow[53]	53	1.6473193529308618	32.6807830252923	2069910.426283128
OK	Optimization1[1]/Subflow[80]	80	1.6501383498645747	29.75090273600881	1940548.557433715
OK	Optimization1[1]/Subflow[98]	98	1.6501383498645747	29.75090273600881	1940548.557433715
OK	Optimization1[1]/Subflow[101]	101	4.30186392434563	21.954863785784482	1422823.4520919332
OK	Optimization1[1]/Subflow[103]	103	0.9763472108836417	35.84726515206464	2346400.311940767
OK	Optimization1[1]/Subflow[104]	104	1.6534242654411386	29.76855041271324	1941606.3403939148
OK	Optimization1[1]/Subflow[109]	109	0.5692718020652636	47.32386756762247	3130039.219982405
OK	Optimization1[1]/Subflow[123]	123	1.765072198827089	31.48875443635302	2015778.1906614034
OK	Optimization1[1]/Subflow[128]	128	0.5781782166268226	45.89541818934558	3071626.7658946123
OK	Optimization1[1]/Subflow[131]	131	0.9646199550879526	35.971949250336564	2357173.4508546665
OK	Optimization1[1]/Subflow[132]	132	4.190266473852919	22.032840914850226	1428293.863717076
OK	Optimization1[1]/Subflow[135]	135	1.2828884070045916	40.5816792006472	2437003.5095091793
OK	Optimization1[1]/Subflow[136]	136	4.295677176675486	21.481729172698522	1384010.5019550254
OK	Optimization1[1]/Subflow[138]	138	1.2002607517636257	35.233996191975166	2297616.3622137876
OK	Optimization1[1]/Subflow[145]	145	4.140909112066415	21.73337083336463	1403219.5708552657
OK	Optimization1[1]/Subflow[146]	146	1.6177211225394945	29.88856469553903	1949571.305219355
OK	Optimization1[1]/Subflow[151]	151	2.476682317673104	26.541393292896544	1645805.7773499028
OK	Optimization1[1]/Subflow[156]	156	1.2132605757071824	40.5853711509924	2534833.0978250816
OK	Optimization1[1]/Subflow[161]	161	1.2772430632898963	35.37481611225613	2304743.404735595
OK	Optimization1[1]/Subflow[166]	166	0.3802911317167563	47.77817934254563	3212838.5301422863
OK	Optimization1[1]/Subflow[176]	176	2.476682317673104	26.541393292896544	1645805.7773499028
OK	Optimization1[1]/Subflow[177]	177	0.5261599878091685	47.43312108284323	3150132.0969527094
OK	Optimization1[1]/Subflow[181]	181	0.9359339617840821	36.30675245694286	2388591.655680107
OK	Optimization1[1]/Subflow[184]	184	1.2094443946065487	40.678342105373574	2577847.6777745457
OK	Optimization1[1]/Subflow[185]	185	4.312735963415792	21.618537291723158	1395638.9385377788
OK	Optimization1[1]/Subflow[187]	187	1.4646294151207382	30.814816777516	1994539.261769457
OK	Optimization1[1]/Subflow[188]	188	1.3829405180976764	34.344870794570966	2234883.352847015
OK	Optimization1[1]/Subflow[196]	196	1.0036829977896797	36.02733281330387	2372470.070589224
OK	Optimization1[1]/Subflow[199]	199	4.138054111671481	21.6855733822685	1399406.9755006144
OK	Optimization1[1]/Subflow[200]	200	4.506910077421059	22.296396674690186	1404565.9473103113
OK	Optimization1[1]/Subflow[206]	206	0.5041041847620971	46.217925217055466	3103503.9737256584
OK	Optimization1[1]/Subflow[208]	208	0.5462637275284168	47.64268003888799	3147579.837118623
OK	Optimization1[1]/Subflow[217]	217	2.4500449596846057	26.951225862498603	1685326.6457217655
OK	Optimization1[1]/Subflow[218]	218	1.2002607517636257	35.233996191975166	2297616.3622137876
OK	Optimization1[1]/Subflow[219]	219	4.422751947995717	21.133366428174043	1357364.9366043103
OK	Optimization1[1]/Subflow[220]	220	0.5406318611436802	46.088107777510714	3090014.119413225
OK	Optimization1[1]/Subflow[221]	221	4.131763262247439	21.7209136177471	1402590.294923293
OK	Optimization1[1]/Subflow[222]	222	1.2828884070045916	40.5816792006472	2437003.5095091793
OK	Optimization1[1]/Subflow[225]	225	0.5047384657884244	46.48719366185614	3120477.3151282836
OK	Optimization1[1]/Subflow[230]	230	1.1117367799592666	35.60827020910446	2342936.05103992
OK	Optimization1[1]/Subflow[233]	233	0.6177101178967597	47.029005187032794	3102946.2484135833
OK	Optimization1[1]/Subflow[239]	239	1.3826670305098396	34.34562950434153	2234964.1230837675
OK	Optimization1[1]/Subflow[243]	243	4.149712670562625	21.571676502396485	1388685.83092629
OK	Optimization1[1]/Subflow[245]	245	1.2108369896517504	40.96469441251678	2587734.434812731
OK	Optimization1[1]/Subflow[248]	248	1.765072198827089	31.48875443635302	2015778.1906614034
OK	Optimization1[1]/Subflow[249]	249	1.0184934834560506	45.40376902634068	2824926.0944062597
OK	Optimization1[1]/Subflow[252]	252	1.2675671142555665	35.54536211505584	2314066.4655081616
OK	Optimization1[1]/Subflow[254]	254	1.2043860988797306	43.172480218427125	2673208.946240556
OK	Optimization1[1]/Subflow[258]	258	4.260626314443151	21.234416033739024	1372449.813437552
OK	Optimization1[1]/Subflow[274]	274	1.268808765588319	34.71669216898101	2266718.4040192063
OK	Optimization1[1]/Subflow[275]	275	1.394617786174254	34.21294296083562	2224805.3898969665
OK	Optimization1[1]/Subflow[278]	278	0.3802863783251684	47.778211325639404	3212841.4181029554
OK	Optimization1[1]/Subflow[282]	282	0.6177101178967597	47.029005187032794	3102946.2484135833
OK	Optimization1[1]/Subflow[286]	286	1.4711355164447317	33.51917135855814	2162643.1106901867
OK	Optimization1[1]/Subflow[288]	288	1.2108369896517504	40.96469441251678	2587734.434812731
OK	Optimization1[1]/Subflow[289]	289	1.248820492902123	41.68585466916268	2558412.012487433
